epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2008.63,0.66548,0.30441,0.85165,0.9,0.82889,0.88199,0.52911,1.45579,0.72843,1.48677,0.000476145,0.000476145,0.000476145
2,3984.5,0.6912,0.3202,0.85584,0.88025,0.82077,0.86838,0.51507,1.48986,0.67344,1.54197,0.000889615,0.000889615,0.000889615
3,5952.69,0.71419,0.3306,0.86114,0.87418,0.82986,0.87831,0.52142,1.47866,0.64466,1.49736,0.00124021,0.00124021,0.00124021
4,7915.94,0.71995,0.33371,0.86364,0.89586,0.82172,0.88253,0.53225,1.43823,0.66036,1.47576,0.00114606,0.00114606,0.00114606
5,9881.43,0.71614,0.32852,0.86149,0.89078,0.82003,0.88529,0.5337,1.43547,0.6318,1.48337,0.00105174,0.00105174,0.00105174
6,11844.4,0.63691,0.30357,0.84474,0.8884,0.83576,0.88627,0.54251,1.45085,0.62242,1.46361,0.00095743,0.00095743,0.00095743
7,13806.6,0.6083,0.29046,0.83821,0.87468,0.82214,0.87512,0.53006,1.42287,0.65853,1.47331,0.000863116,0.000863116,0.000863116
8,15768.6,0.59432,0.28297,0.83543,0.8726,0.83579,0.88315,0.5405,1.44845,0.64874,1.52837,0.000768802,0.000768802,0.000768802
9,17730.6,0.57598,0.2759,0.83161,0.86996,0.82155,0.87758,0.53063,1.45178,0.63297,1.5031,0.000674488,0.000674488,0.000674488
10,19692.4,0.5596,0.26655,0.82811,0.89559,0.82528,0.87966,0.5236,1.45851,0.6462,1.51281,0.000580174,0.000580174,0.000580174
11,21656.4,0.54362,0.25917,0.82326,0.88996,0.82827,0.88533,0.53803,1.43246,0.67157,1.49679,0.00048586,0.00048586,0.00048586
12,23617.7,0.5276,0.25162,0.81997,0.88111,0.81845,0.87921,0.53817,1.43908,0.6247,1.50365,0.000391546,0.000391546,0.000391546
13,25581.3,0.50927,0.24401,0.81663,0.88536,0.81503,0.87657,0.53871,1.43737,0.64808,1.51053,0.000297232,0.000297232,0.000297232
14,27545.6,0.49443,0.236,0.81407,0.88585,0.82621,0.88228,0.54279,1.45286,0.67141,1.52141,0.000202918,0.000202918,0.000202918
15,29509.4,0.47724,0.22903,0.81034,0.89161,0.82251,0.88324,0.54374,1.47132,0.68222,1.54861,0.000108604,0.000108604,0.000108604
